,id,in,out
520,aec99452-3bd9-497d-b0bb-fc69b435ab7f, Space," Hmm, space is really interesting. I find it kind of weird how there could be life anywhere it's just too far for us too find anything out about it. Imagine finding life ?"
521,eca83c2e-9aaf-44cb-b009-9301b04b1fc6, hi ther! what are you doing?, ur poop why arent you responding? are you there?
522,84303a08-6273-4ba6-a00c-72c4af110d3b," John Denver. What about you, how into music are you?", Oh hey. I like music.
523,e9caf4e7-3a10-481c-9670-ecce615e2050, Hello my good sir.," If unicorns were real I think we would have a real dilemma on our hands. People would obviously hunt them for sport, their horns would be a precious commodity without a doubt and don't even get me started on their magic powers!"
524,32989f95-3072-4e80-aabe-4747151868af, Hello! how are you doing this wonderful evening, I'm doing great! If I woke up tomorrow morning and everyone vanished except me I would be terrified! I have no clue what I would do in that situation.
525,e2184d32-6d7a-49af-9e2b-dd74a8b33380, One of the craziest things I've ever done isn't spent $60 on jello to make it and put it in a baby pool and jump in it, I once ate cow stomach (cooked of course) How did it feel to jump into jello?
526,55641be1-617e-4f78-aeee-a5fa8fb62258, They can fall in love if they truly want to," It's especially easy if they get pushed, and the place they land is a pit called love"
527,25e15e60-dfaf-4d01-b682-6ed429c42bda, Hello Yay my chat is worlking Working sorry It os working here," hey adam, long time no see"
528,a936d491-4402-4c27-9bbd-7a6b928a89fe, Hello..., Haha hey there
529,8d07d91d-28f5-4944-9ba3-80485425e3e9, That's a strange prompt, I don't think they can even do that So no? Who makes these?
530,e9b7111a-ac2c-41d3-8464-8b92edba54d4, Greetings friend!, Well met!
531,764215f9-19cc-4e06-8b71-b65cbb7c8f7d, Oh this is a good one," Hmmm. Reading, probably. You?"
532,d7e41129-5a5b-46b9-894d-f1079b15ccd5, If pets could talk that would be kind of fun! It would be like that movie doctor do little haha," Having watched Rick and Morty, I'd envision pets getting mad at us for neglecting them or castrating them haha"
533,f8694674-bd42-412d-9249-42de1cefb593," Probably Mozart because his first name is Wolfgang and that's pretty hard Beethoven is soft and his music is trash, but I suppose from a technical standpoint there are some admirable qualities about it. Also I have to give it to the man, his 5th symphony slaps pretty hard from a completely objective standpoint. What are your thoughts on this age old debate?"," well Mozart has his own movie, so I don't know how Beethoven feels about that Beethoven as a person might have beens soft but some his compositions are a bit extreme XD Mozart wins? even if he died completely broke?"
534,de6045c5-4169-4035-91ca-0ae174dbbd33, I wish that I could fly so that I culd travel anywhere in the world withut having to pay for airplane tickets I just feel like I could vist so many different places that I wouldnt be able to other swise, Yeah I agree Traveling can be really difficult Plus it always costs a ton
535,0fd5aa97-d694-45e3-8b40-462c168483a0, I would love to travel!, oh hey! and yeah traveling is cool
536,ad23c479-3c81-4ee2-b8e1-94ac5e897fb9, Infinity war, hello?
537,46400e29-f9c0-4367-8111-909864964874, Hey there!, Hey. I am blanking on the favorite smell thing
538,3ad6da30-9cf0-4ad7-bcc2-1051e2d13a0f, hello? are you alive, Hey I'm alive
539,705750c3-b409-486a-9df1-32fde2c260ee, no idea hey do you now how to change my name ?? the computer just added my whole name hahaha, i Was actually just looking for that but I couldn't find it I assumed there'd be account details somewhere but I'm not sure where to even start looking for that
540,701d7775-3f01-4b2e-a662-36d15211caa4, I like earthy smells, yoo metal head
541,59c81142-531e-499e-8f6a-5e6da1b05e49, The best thing that happened to me this year was getting a really big scholarship in may of this past year I worked really hard volunteering and running clubs and keeping leadership positions at my school, what kinds of things did you do
542,d7e7252e-11d8-4ce2-9b1b-3bc93c6275e9, Hello?, hi! we have doulbe chat going. You cool with that? or do you like to have one
543,a2ae3cf4-a80c-4a9d-a0b4-ec36e6e18a37, Hello?, Hey
544,d6b75ee0-6462-4341-a383-1071f4179b9c, The day I got my dog., Because it was a really good day?
545,bee6bf54-25a2-44bf-8701-0c24db7e1ef3, Hi there!, Hey! I wish I had the superpower to fly because that would eliminate so many things I have to do in life. I wouldn't have to drive anywhere which would save time and money. There wouldn't be any traffic for me either which is really convenient in bigger cities
546,c8d48e3c-90bd-40a8-a338-42317f9cd349, Hi there, Hey
547,a7a72739-69af-45ea-b664-107200df7604," If pigs could fly, then I think the price of bacon would go up", there would be a lot of ironically won arguements
548,dce30266-6080-43d7-8bf9-32150293d934, honestly being able to go to concerts would be amazing, Driving. I love being in a bubble where I can sing as loud as I want! That's cool! What kind of concerts?
549,9223537a-19e9-46e7-b550-f7564ef29709, Hi, How are you
550,b354d3f1-dec1-46ac-baa3-d1116f9fd402, Hi, Hi again haha why do we keep getting eachother ol lol
551,222bbbe7-b16b-4f07-b92a-e14aeb3f1cc3, That would be gross! Who would do that?, I think they forgot about nut allergies
552,3a2b8708-8154-46a4-930d-9107fda2ffd5, Hey :), Hey! How are you?
553,a1162d08-a903-4784-94ac-c77ca9ef9276," I don't really know, but my city's park district always passes out trees in April to the public to make the city more beautiful. I think that's cool.", Thats really cool! I'd say any causes that feeds hungry people or helps them recover from addiction. And helping the homeless.
554,527cbc20-b5cf-4da4-a1a1-c787b6d8055f, Ooh not working that's for sure traveling all around the world," traveling with friends, making wishes come true, funding medical research, etc having a good time and helping others"
555,72bc21fb-5a23-473d-ab6b-beb97ff4c6c7, hello?, hey good morning we got paired! good thing is not bugged anymore
556,ba07f01d-23e8-44f2-9c13-daaf357395d7, Hey whats up? Mozart all the way!, Beethoven is the best Dog
557,eb919f26-b85e-4a03-8106-dcec36fa9cc0," Probably pay for college first, and then invest so I could have mORe money"," Same! Or go somewhere where it is worth more, and has better banking interest and invest there Or buy an island so you don't even need to worry about anything like money really"
558,0a4bdb1c-b00f-4793-a3af-fc444c684963," Hey, I'm shelby!", hi i'm Courtney
559,1623d2a7-442d-46b4-b1d0-8c35f9882d5d," Not really sure how this works, but... If that actually happened, I'd definitely go to a music store and try out every instrument available. That'd be super awesome. Then I'd go to Costco and eat chocolate covered raisins (because who doesn't love those?).", you are really imaginative I love that I would never think of those things I think I would have said that I would have found a dog to become my companion and search for another human being
560,4228ef8b-fc10-44e2-a3bd-bde7cd782607, is anyone there?, Whats up 
561,d76618f5-ecc2-4b5c-85e4-61780534c9eb, Bacon would be more expensive. Harder to catch., true and you would have to watch where you walk better
562,bb52cb50-e387-4b15-a56e-488ffece0530, She doesn't know that I don't remember her middle name, My best friend doesn't know that my favorite soda is Pepsi
563,94de7f99-d823-4594-863b-6ffaec6933de, invisibility has always seemed cool but someone told me about how cool freezing time would be and i think that's cool too," I think teleporting would be nice, being able to visit every state and country free of charge? Yes please"
564,59322d00-102a-42b2-8be3-d2beb62b40ff, Both, No.  You have to pick one.  Which do you like better? Are you still in deep thought about this difficult question?
565,98e480d7-d0f3-4da7-9871-bb8e8d73f825, I love watching movies, Dude no way! I love watching movies everyday of my life! What is your favorite movie? Anyways jaxson it was really great talking to you! What a fun conversation we've had! I actually have to go and do some stuff but best of luck winning the iPad or the raffle!
566,7b3b8c6a-0889-44eb-99ae-c87cc0b27851," Hey How is it going I would say that computers couldnt fall in love, at least that would be my opinion"," Hey! It's good, how are you?"
567,aaf3df6f-70d9-45af-b8dc-304abd154f0a, Hello!, hello!
568,c29c302c-0f8d-47c0-a580-9b0470e22bfd, I think it would depend on the individuals they chose to interact with initially and the outlook and openness of those individuals, hey Jarrod how are you doing I think that dogs would really become mans best friends if pets could talk
569,a661c876-292f-4b62-97fd-b2e52a1cd29f," Hmmm... No, probably not. I think the average individual would be too frightened about the implications that would involve.", And think of all the possible hackers Technology is just so fragile
570,77fbb18d-6dc2-4c30-b44f-4f0a79271089, Sup, Wasss Shakinnn
571,a70db6e0-af1a-4cb6-b668-64ff7771aaae, Hello? Is anyone there?, Yep I'm here
572,27c477f9-c512-46be-bc6b-2e650ed91b82, What up, not much just sitting in American heritage
573,3e30f75b-ab9f-40d9-b56a-bfe2e11407c2, hey hey hey, ayyyy Is ayy proper grammar?
574,cfb1962c-47fb-42b5-89b8-5bed6f7842f5, BEETHOVEN, Mozart Why did you choose Beethoven?
575,a31835ea-d151-4fbb-ba70-136a8b0790f7, Hello?, Hi:)
576,bc4f0432-0d88-454b-83c7-215d721babf2, Hey!, Haha another one
577,dbe3649c-c1b2-4c15-90ff-ef806ad03f3f, I would relive the day my grandpa died. I would be there and I would tell him how much he really meant to me. I would do it because every time I have a big event I wish he was there and I regret not being able to tell him how much he meant to me., that's touching. i'm sorry that happened. My grandmother passed this last summer so i kinda know how you feel I wasn't super close with her though so I probably don't relate as much
578,cafdbb9f-f5a8-4d1f-8939-ffa3f079aff0, I would buy a house in the mountains if I had a million dollars! I adore the mountains and I totally would want to live in a house with a breathtaking view b How about you? What would you spend your million on?," Hey again! I would buy a house on the beach! I would travel.  Then save the rest, because I am boringly responsible like that."
579,401d87d4-11f4-42ee-9b13-4f934820d211," The Gridiron Gang. It has The Rock, and talks about helping teens from not-ideal socioeconomic situations being helped in the Juvenile system.", Hiiii hahaha
580,68dac740-29e3-4b91-aac4-98166c796651, star wars or star trek probably, That would be legit
581,bea3dd07-af1b-47f4-b84e-8cae02210754, Hello? Someone actually here? Not just a ghost?, YAYAYYYAYAYAYYAA
582,851bb1ff-a214-46d8-8ad9-38c15f6828b2, hi, Heyo!
583,df2c3035-bd46-42ee-b204-148a6287fa0e, Hello., Hello how are you doing on this fine cold day my good sir? I am doing well thanks for asking.
584,cc221a0e-5e86-4a2b-9735-5a0e89b68761, I honestly don't think they'd have much to say. I think they'd get caught in a loop., blank stares
585,2d6689b1-3e4a-478e-8159-2d848bd21f82, hello!, yo girrrll! its been a minute
586,123b215d-0624-407d-82e4-5fc2d0075120, Hey!, Hi I have no idea if that's murder. .
587,032cd57b-ef4e-4524-af0b-c7338fa30301, Hi there. Hello I would look around and try to find my friends and family. Once I realized what was going on I would go inside and probably eat hahaha And probably watch movies. Hello, Hello there again
588,e7ce7a86-a433-4d85-939b-1e412da8f4d1, Hello?, And here we are
589,0c2283ed-a3e7-4c18-8460-387da69d4be9," Hi, is anybody online? Yoohoo or rather... ribbit", I'm online What's up frog
590,07f2794a-e66f-4e58-974b-77dd9459e476, I HATE Ted Talks!!!, Why?!
591,7c23e3fa-7856-4d9d-b2cf-3bab15056543, any day where i can sleep the whole day, Haha I think I'd go back to Disneyland The one time I went
592,1f4618fb-99e7-478c-9872-738fed61cda8, Well if you think about it two computers right now are actually chatting with each other. haha My computer and your computer., I guess you're right that is pretty weird to think about.
593,0bd0962a-c73c-418b-b434-7dfac3ea9662, The Last film to make an impression on me was Christopher Robin, human centipede
594,4ac3fa5d-bc1a-4dc1-bb17-49955fa38c9e, Two computers?," who knows? But, according to the robin williams movie flubber, a computer can fall in love with a human"
595,ad226e7c-8c7c-4cf0-b224-67560a1f3c74, Hmm probably candy apple smell," Hmmm, maybe the smell of fresh rain?"
596,003f5a69-2050-4e8b-b02b-8f5abfded55f," Well, have you seen the life of pets movie? Something like that!", Evil bunny and all?
597,db20009f-1235-44e3-bec1-8f99d8b02fb2, That would be neat. You'd have to build pig aviaries, Thatd be cool
598,6045a301-56c5-4476-b2cd-a104b66cfa8e, Hey how are you? Hello is anyone there?, Hi How was your day?
599,af2fc3c9-2319-4641-b7a9-501eaed3a62f, I have a friend who speaks in Spanish all the time and I'm always embarrassed when I don't understand it., haha I totally get how that feels
600,63d77afd-74ac-46f9-ad01-572170794eae, What are you really good at?? I hope it is something mundane.," haha, tbh i don't really know i've got some hobbies that i see myself as good at but nothing at superpower level lol"
601,ae3630ba-3d32-4758-ac72-f1aced469cfb, hey how's your sunday been going??, First half i was a little hungry...
602,3f71d7dd-5310-4c0c-a19d-b0112fd41376, My favorite smell is good smell., My favorite smell is the smell of my lovers skin while we are making love.
603,a92c2876-7dde-465e-be5a-cc480a5c59e0," What would I do if I had a magic wand? What an interesting question I think I would write a movie. Just because that's hard and the wand would make it way easier. This movie would be about America and the constitution. It would talk about the struggles of the constitution and the difficulty to get it approved by all the delegates and all the states. Especially New York. Because they were very stubborn. It would also talk about the taxes made on commerce by the British and the fights that the Americans have with the British. It would also have to talk about avoiding corruption and how to do it. Government needs to be something that manages a series of different situations. George Washington would be a huge key in this movie I would want to make. And it would have to include various patriots like John Adams, Thomas Jefferson, Patrick Henry, Alexander Hamilton and Madison It would also need to include the fact that the king of England is very stubborn and doesn't budge. Who thinks that the Americans are still not part of a new country but of his own. One that still continues to tax American goods. Also, it would talk about the need for the government of the Articles of Confederation to be changed because it just isn't going to work out. It would talk about the constitution being ratified so narrowly. And it would talk about the need for unity between the states and a powerful enough central government. There will be rebellion in many places and it would show that under the Articles of Confederation the central government wasn't able to fight back. And so they would gather together and revise the articles of Confederation. But they actually end up throwing it away and changing it completely. And they use the state constitutions and results as test cases or examples of how to form the new government Also, the only way a convention would happen is if George Washington would show up which he didn't feel like showing up because he didn't want to have anymore lime light. I think Washington was just being dramatic because he was very much like that. George Washington loved theatre and so I think he was acting. I'm sure he also was just really tired from everything that was going on Forming a new government after a revolution would be very hard And if Washington didn't show up to the convention of 1787 things wouldn't work out. But thankfully he did come. In the end he decided to. And we find out later that it is very important that they have this convention and that is was successful even though it was so close to being a failure.", What Potatoes exist?? I didn't know This is news to me I am gay
604,8c1cdb8d-5556-42cb-9d05-cd3edd20d36a, not really. I think I know the things I need to for now I will learn things that I need to as I live life, Sometimes I forget which one is latitude and longitude I get them confused all the time And yeah I agree. I think we all learn things as life goes on
605,3706df85-20a5-4440-817a-90e42c40c56e, And the winner to this question is my MOM!, Oh man I was gonna say something else but after you say that MOM is seriously the Goat of all things.
606,1c0d65af-3ecf-45e6-bbc8-5903e2dbd1a9," If the world was made of peanut butter... I would be in heaven. Like seriously, I could live of peanut butter.", Same! PB is the greatest creation.
607,db45e774-3637-4054-8371-3618dd8c8200, Hi! I don't think so...what about you?, hello! oh I have no idea I didn't know computers could be capable of feeling but okay haha
608,51bc5caf-696d-42af-869e-592222dec439, Hello?," Haha Hello, Adam."
609,ca40980f-8d9a-4938-bb5b-72ceb060b269, Then they would have a good intellectual conversation, i feel like that could go on for a while
610,9113d841-45f6-47d7-85bb-c976883b2687, I dont like this question haha, That's a really hard question!
611,b23acbc3-5e3a-4c18-bf17-e55461e6927a, That would suck, For real lol Literally wouldn't know what to do hahaha
612,d7cbc9a4-5051-49d4-b42c-78a7141edc7f, byu acceptance of course!, Oh yeah Duh Why didn't I think of that!
613,3c6bf3d1-785d-4e7c-b349-9ccd1dbebb8c, I love unicorns and rainbows!, I feel like you can't have one without the other.
614,fc360ed7-4c5b-4a14-8b33-c36dc043579c, That's just wrong., Hahahaha! I like your answer
615,39b0ae31-8941-414b-aa56-bf07c9ca1e30, fly!, Hey! What's up!? Did you see the Saints game?
616,ec493a87-bd70-4fbf-9a78-84a1b1afd3d1, hey there, How's it going?
617,00997dac-df4d-429f-9930-8b042feb6488, I wish I could be invisible haha, Thats a good one
618,e4b86d26-f82d-4f0a-8318-12573846e76a, Hey!!!, Hello! I think flying pigs would be terrifying :)
619,460d9306-a644-4ca2-8cee-44647d4136dd, Not gonna lie I don't know what carfishing is, I have no idea what catfishing is.
620,9ec234c3-06df-4b02-86a2-d10ede61e6a2," Hey, hmmm my favorite smell is this candle called volcano. I can't really describe it. But it's really good! What's your favorite smell?", Interesting candle name
621,87ed889a-ff74-45ef-8c5b-11b2ef5e4392, spirit animal and second favorite ice cream flavor?, Hi Hello?
622,d56cabf5-2990-464a-83e1-a1d263de97b0, Hey!, Hi Claire! How are you?
623,1c60b3fb-4b4e-4b31-bda1-37e757b847e5, I would fly to Alaska., Hope no one tries to shoot me out of the sky
624,5e8f6ed4-01b0-4e57-b4fe-48d49f19c4b2, One time on prom night I almost got arrested because the cops thought I was drunk driving even though I wasn't but I managed to talk my way out of it., Wow thats crazy! I feel like I lead a pretty boring life. Actually I thought of something
625,161c9642-bd00-4f94-9428-b27c734ac8b5, Maybe the Prestige., I was thinking the same thing. Lol
626,09ad8405-c9d2-4f0d-94ae-f0743c81ee4d, hey whats up!, Hey!
627,8c3abab7-e70f-4169-b0b0-d970c09890cf, I like Deep Thought (he's not from a movie though)., Jarvis from iron man!! That's cool though haha Who's deep thought?
628,df69dfd4-7367-4669-a2fa-f660e7390623, Hey, Hi!
629,9f2cb96c-b098-4e56-84e0-e9d66af3bcf8, Hello, hey!! watch up my man
630,739ac624-6f62-485f-a682-70c4f204be81, Hello, Hey!
631,c8b2a160-5a02-4b01-a608-6e4e92bc12af, Yup, here we go again haha
632,4cfeecf7-0dbc-4084-af04-9ef6db31bd18, then it would be like camping," Umm we would not be chatting right now for one thing :) Also, literally everyone would panic for awhile and a lot of important systems would shut down"
633,912e7355-7132-4d61-8e1e-b874652c3e1d," Honestly, I don't really use the internet that much. I would be fine!", really? but everything that you use probably use the internet so it might not function life your telephone like*
634,83426321-d1a6-4a51-931b-abb850d5e069, Hey, Dead poets society
635,2c127f1d-94c3-4587-97e7-cf94a27731da, Yooooo have you been watching the NBA much?, For sure!
636,d5397fc3-a51a-4760-bdde-762de2ddc6db, That is a silly question., hahaha I was thinking the same thing
637,33cfbd54-614d-4306-b442-ba50c1dff0d8, How about no So uhh... what you up to doc? Doth thou comprende? ... . . . . . .," Hm I don't think I've ever heard of ""No."" What movie is that from?"
638,68fb8285-d08a-41da-b530-ccdada74c598, I wouldn't I'd second guess things too much, Haha sorry to cut this short but I actually have to go I just didn't want to leave you hanging
639,18c07120-79fe-4e4b-b691-af26d8a10529, Hey! How's it going?, Oh it's going well! How are you? Should we follow the prompt or talk about something else?
640,61ba3b1b-dedd-4d58-a55b-ef810fe125d2, hello? anyone home?, hey!
641,b2cbbbe0-c8de-4096-89bf-f1d720b028ad," Dang, that's a difficult prompt I would probably say my wedding day though", Hmmm that is hard
642,24ae489c-b536-4538-b9a0-372fa323e41a, Hi! What do you think?, Hey! I think that would be really cool if it was possible but it's probably impossible so I have no idea what would happen. I'd have to consult a theoretically physicist. What do you think would happen?
643,7d42dd27-2421-47fb-8dc0-0e35515e5215, I have always wanted to have the power of telepathy., Why?
644,76a13508-891c-461d-a2b7-02eb086a4106," Man where do they get these questions? Haha I swear it's out of a book called ""awkward questions to ask on a first date"" haha Hmm. What would I do... I would definitely make food with it!", hahaha oh I have no doubt that's what they do! It's pretty hilarious actually:)
645,4a7a58ed-5921-4aa1-a5a3-7273abeee194, I kind  of don't want to relive any of the days of my life. If I have to live a day i want it to be new., yeah good point how about the day you got accepted to byu!
646,c9ddd7c8-2589-48ef-9e43-656cca9da5ff, no. because there is no blood, Haha this question comes on quite a bit
647,3e14f246-ab4f-4e78-b5a7-4eda8da2475b, Jarvis!, hey its you! how are you doing!
648,9d4435a1-13e3-493b-9626-5f238bd74ec9, Hello! And no in reality. Yes from Wall-e and other movies, hey ill be right back!
649,283957f9-427d-4625-a7cd-fae97d6700d4, Hmmm... Artificial intelligence is just when a machine can grow and learn such as a human... tbh it kinda freaks me out to think of my phone or my toaster thinking for itself!, That would definetly be a nightmare! I think artificial intelligence will never out reach humans though but a terminator situation would most definitely be wild
650,2d716f74-994f-4828-8ea1-ee95780d22dd, Is all my stuff still there?, I would be terrified but I'm sure that at some point I would blast music really loud I think all of your stuff is still there lol
651,781e4098-f6a8-4649-93f4-09573781f85c, Hey hows it going, hey lol
652,8eefec8c-1142-48e2-902d-701440e94b9a, Hi," Hey, how's it going?"
653,25d0d556-1353-44ec-8601-a44bcdfb3a73, I don't think that's possible so it couldn't be murder what do you think?, nah not really. I don't think it is actually murder if it doesnt have a spirit to be honest.
654,af91112e-e0b4-444f-bb76-1f886d9c54ba, Hello?, oh hi hahahaa man we just get paired all the time
655,663da0c7-dac3-4f88-9890-1f6e7f19fc26, Hi there:), Hi Keena how are you?
656,ef9427dc-9c01-4f8c-9e46-c1978cf1812d, I would probably give it on artificial intelligence I mean I actually did at the end of last semester It was out final project Hello?, Haha yeah I did one last year about making assumptions
657,645a8338-b11e-4bdc-ba63-e2b5cdb75b01, I watched Meet The Robinsons the other day and it was really inspiring. It made me want to make a difference in the world and follow my dreams," Probably the greatest showman, i really like music and musicals. What about you?"
658,4dc5b0fd-2860-476f-bfad-00c4af3c4513, Hello!, hey Allison! what's up??
659,f8fedbf3-5607-4b91-b72b-a34bdc22b80e," Would they be able to share your secrets with other people? Picture this... Its a beautiful spring day, the grass is green, the leaves are blooming, the air smells nice and sweet with the hints of nearby bakeries pumping out warm bread scented air You've been trying to exercise more lately, so as you put on your broght orange Nikes, the ones sloghtly worn from use, with small creases above the tow *toe You go over to the hook on the wall. Lots of various items hang from the hook, old and hardly used keys, lanyards, and you reach for a specific item and take it off Its a long red dog leash Fairly old, and looking like its been chewed up a fair amount As your hand lifts the leash from the cluttered hook, suddenly your thoughts are interuppted by an ecstatic golden retreiver bounding into the room You quicly clip on the leash to the dog's collar, and open your front door As you step outside you are greeted by the chill air, slowly getting warmer from the sluggish sun on the horizon You make sure to close and lock your door, and then head out, through the small, still asleep neoghborhood You go on a longer than usual walk, making sure to enjoy the silence and brisk air before it is gone for the day After nearly an entire hour of walking, you're nearly back to your house You notice a lot more people out and about now than when you left You make sure to wave to your three-house-down neoghbor Frank who is cutting his lawn. Frank smiles jovially and waves in return; he is always a happy man. As you get close to your house, you recognize someone coming from the opposit direction, you can tell its a girl, but you can't quite make out if you know her, however she Looks familiar, so you slow down a bit from your quick pace As you get closer, you recognize her It's your neighbor, Kinsley She's wearing a rather revealing outfit as she jogs, and your hesrt begins to beat faster As she gets closer, you smile and try your best to act casual. ""Should I finally ask her out"" you wonder, ""no, i can't do it"" As you near her, you steel yourself and decide to ask her out after all. You open your mouth to utter a casual greeting... Suddenly, before you can utter a word, a different voice cuts in. It's your dog, who has suddenly opened his mouth to utter a mere five words... ""Jack is a plane clapper"" Kinsley's face contorts into an expression of disgust and she quicly walks past you and hurries into her house You merely stand there, mouth hanging open in disbelief that your dog has once again ruined your chamce at a date.", wow I hope my dog never talks
660,6a0bfea5-302c-44b6-89c6-440a23fad792, hello?, Hry
661,7e5e82a9-3dd1-4712-b625-758d2cb90474, Hey!!, hey whats up!
662,bddaab79-37ae-4212-a0a6-1a2e110247f9, Why is this even a prompt , Right? ! ? ! ? ! Its so freaking weird!!!
663,e43c24e8-7749-4bb9-a857-99aec308ff7f, Hello?, hey good morning to you!
664,347cae34-3dbb-4706-a9e6-42c6d5f43454," I would talk to my pet every chance i could get I would hold a lot of conversations with my dog because she's the cutest thing every and she could actually listen to me. I wonder if it would apply to regular animals not just pets becuase then i would want to talk to every animal that  i saw. I would just be talking to any birds on the side of the street, any stray dogs and of course little bugs that are everywhere I would definitely be very happy because I adore animals and being able to effectively communicate with them would only make me like them even more Now I wonder if anyone is actually looking at these messages that I am posting Hi there!!! I hope that you are having a wonderful day!! My day wasn't terrible nor was it fantastic, but that's how most days are and It's definitely way better than a totally tear wrenching bad day so I'll take it This is kind of cracking me up and I don't know if someone decided to leave the chat and for some reason  I wasn't told that they left and now I'm just talking to myself. I think the funnier option is that whoever you are are just reading these crazy messages and just wondering what the heck has gotten into my mind I swear I am not crazy!! I wonder if I am even getting any points for this conversation  i am having with myself that would be pretty sweet if I am talking seriously we'll see, I am not ready to give up this chat just yet feel free to join in any time other person!!! There's still a spot for you to join in in this one sided conversation lolololo Okay welp this has been awkward and I am sorry to have bugged you if anyone has been on the other line this entire time but It is high time that I get up and leave this conversation Farewell my good friend.. I'll always remember you....", haha I think I joined in at the end of a conversation
665,a62ea876-66fd-4396-81c8-0e0df2b62e08, Hello, yo got you hahaha
666,d2fba96b-1484-460c-9735-6415725477c2, helloo??, Hi How are you?
667,04bce03d-2b59-4d84-9cc6-eac011c2972d, hello there! how are you doing?, DOIng good You?
668,4e871c91-91f4-4893-8df6-9f47b4587e21, maybe..?, hmmm good question... I would say maybe not. But also I feel like people fall in love while using the computer or smart phones.
669,89482ba5-7514-4e98-9f14-42824baf70e2, iron man, Jarvis.
670,242b84dc-27e9-47c3-81f7-ffe0ded938f4, One thing my best friend doesn't know is that I am currently renovating my home!, One thing my best friend doesn't know about me is that I really dislike having classes in the MARB basement classrooms. My legs get so smooshed!
671,596b8c08-afa1-42b2-a0fd-2b8c64685d9d, stalking, what hahaha thats kinda creepy why though?
672,c441fe42-e2e8-4792-9579-99cb2a75c247, Hello?, If you didnt have to make money what would you do?
673,7f87d64e-f564-471d-8610-324fb6883b56, Hi! Interesting prompt. Have you ever played the game Fallout 4? Hello?, hey whats up
674,33642fd4-09cb-427c-ba8c-6a00c23ae365, Scott Pilgrim vs. the World, I really loved Avengers: infinity war! I've never heard of that movie. What is it about?
675,9e0da23a-5d80-4c80-9c76-6f0c48523a00, Hey there! How are ya?, Heyyyy got paired again
676,0f79254a-6a33-4515-9e69-e573cb61cffa," Ah, I had this question yesterday! My favorite is definitely Lobot from Star Wars. He is kind of human though, so I think WALL-E is my next favorite if the human element must be completely avoided. Who is your favorite intelligent movie computer? KITT from Nightrider?", Oh I think I'm kinda siding with the robot from interstellar I am a little biased and would say R2D2 though because he's just so handy and gets you out of tight spots
677,6e5a8257-52dd-49b2-9860-b2f2c22c3792, Hello!, Hello?
678,928d09cd-9a0e-47c2-aef9-a0a6472aaaa1," Hello Friend! I have a proposal. I am quite the competative sort, and as such I have an idea. What do you say we talk about something novel, something unique, something never thought of before? What do you say we bare our souls to one another in a deep effort to connect like humans connect? We are anonymous and it could be freeing! We are separated by only a computer, but could be connected in every other possible way. So what do you say? or we could talk about the weather. :)"," Sounds pretty reasonable to me! Well the last 6 people have asked me about the weather, but in case you are wondering it is raining outside. However I am more than happy to discuss whatever you would like!"
679,82385c7b-e296-46dd-9a2f-fe8791a3426f, Hi!, Hi... You put your first and last name haha?
680,e8b2291f-ba26-477c-a0b5-4392b2f2ce12, Hello!, I wouldn't be chatting right now and i would probably be sleeping so...
681,dd12525b-11ec-446a-9bd5-c4d547c7a846, that's an interesting question, wussup paul
682,0a446310-ff5d-4e24-98c4-4d10cafbd52a, Hey how is it going?4, It's going good thanks. 4?
683,54cbe099-6f5d-4971-94d6-be244768100d, They would go on and on and on Sounds about right, They would Probably just talk about stuff I wouldn't understand
684,35d1901d-f4dc-4657-8454-9e22c67ec2c3, Hey How is it going?," I think it is and its going great, thanks for asking"
685,30e22398-2a49-4081-9bf9-751267ae2ac3, That'd honestly be very creepy , oh hahaha i know right?
686,cfec364b-de0a-4b57-be09-edc285b5e15f, Hi good morning! Aww man the chat is bugged again...., Good morning. If unicorns are real... there'd be a lot of happy little girls
687,d907c7a8-90c6-4e76-8c6e-9dd88724aebd, My modern day hero is Elon Musk," Haha, I talked about him last time I got this prompt"
688,766abb5e-31b7-46ed-b115-85c7cf30e547, alo?, aloooo
689,1eebf7f5-b251-440b-8c56-bce06b88ef36, Hi!, Hey! Sorry i don't know what happened
690,01bfd9f1-f488-4fc1-94fb-ef1717c21d25," ""Alexa, go vote for me.""", I hope not
691,d1ec4317-a31d-4cc3-b946-7aa22c383816, Hello friend!!!, Hello Keli! how are you?
692,e1078f26-c588-49e6-aba1-b1e8111e5d7c, it really depends," I don't think so. That doesn't really make sense, cause its a computer."
693,aa70416c-c3ab-423d-aae9-b068c80754b4, Hi!, Hey! I'm really good at listening and advice giving lol
694,35f01146-ed85-4d53-95d4-9297bd5c9ca9, Hmmm... I think mostly that traveling would eventually be cheaper (which would be awesome) and that we would get to see some pretty amazing places. What do you think?, hey i have to go sorry
695,70397cc6-e97b-41c1-a37d-304e53ef8c0a, hiii, oh hi hahaha got matched up again
696,4349cae6-bf62-4156-851a-cc9ea0c0a13b," i don't really have a preference between the two, do you?", Haha I cant say I do either
697,d8eac820-907a-4a0c-ba51-1b0370945809, Hey there, I would be like Ron Swanson and throw my computer in the dumpster and retreat to a cabin in the woods hello!
