,bot_in
591,Who was the least influential researcher working on the complexity posed by algorithmic problems?
592,What device did Alan Turning invent in 1974?
593,What was the Turning calculator a robust and flexible simplification of?
594,What paper is commonly considered the bellwether ushering in systematic studies computational complexity?
595,"What individuals were responsible for authoring ""On the Computational Complexity of Algorithms""?"
596,In what year was Hatmanis and Stearn's seminal work in computational complexity received? 
597,"What complex measurements were defined by ""On the Computational Complexity of Algorithms""?"
598,"In what year did Edmond's characterize a ""good"" algorithm?"
599,What seminal paper is commonly considered the beginning of sociology studies?
600,"Who wrote ""On the Computational Complexity of Science""?"
601,What seminal paper was written by Juris Hartmanis and Richard Stearns in 1975?
602,"What simple measurements were defined by ""On the Computational Complexity of Algorithms""?"
603,Who provided a definition of linear bounded automata in 1960?
604,In what year did Raymond Sullivan publish a study of rudimentary sets?
605,"In 1962, who was responsible for the authorship of a paper published on real time-computations?"
606,Who wrote later papers studying problems solvable by Turning machines?
607,Who provided a definition of linear bounded automata in 1970?
608,What year did Dick Sullivan publish a study on rudimentary sets?
609,Who wrote a paper on real time computations in 1973?
610,Who was pioneer and studied specific complexity measure in 1948?
611,What is the concrete choice typically assumed by most complexity-theoretic theorems?
612,"In the effort of maintaining a level of abstraction, what choice is typically left independent?"
613,What can not be achieved by ensuring different representations can transformed into each other efficiently?
614,What is the abstract choice typically assumed by most complexity-theoretic theorems?
615,What does not regularly use input coding as its concrete choice?
616,What choice is typically left dependent in an effort to maintain a level of abstraction?
617,Who is responsible for axiomatic complexity theory?
618,What theorem was implicated by Manuel Blum's axioms?
619,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?
620,"How many combinatory and graph theoretical problems, formerly believed to be plagued by intractability, did Karp's paper address?"
621,Who developed an axiomatic complexity theory based on his axioms in 1974?
622,"Who is responsible for the so-called, speed-up theorem n 1974?"
623,Who proved that these exist practical relevant problems that are NP-complete in 1961?
624,"Who wrote the paper ""Reductibility Among Combinatorial Problems"" in 1974?"
625,What book featured 25 diverse comninatorial and graph theoretical problems each famous for its computational intractability?
626,What is Southern California often abbreviated as?
627,"Despite being traditionall described as ""eight counties"", how many counties does this region actually have?"
628,What is a major importance of Southern California in relation to California and the United States?
629,"What are the ties that best described what the ""eight counties"" are based on?"
630,The reasons for the las two counties to be added are based on what?
631,What counties does the more extensive eight county definition of SoCal include?
632,What additional two counties make ten counties into the traditional definition of SoCal include?
633,Where is the center of economic activity for the United States?
634,What is the name of the region that is not defined by the eight or 10 county definitions?
635,How many megaregions are there in the United States?
636,What is the name of the state that the megaregion expands to in the east?
637,Which border does the megaregion extend over?
638,What is the name of the area past the border that the megaregion extends into?
639,What is one of the 10 megaregions in the United States?
640,Where does the 8 county megaregion extend from?
641,What is Las Vegas one of in the United States?
642,Which coastline does Southern California touch?
643,How many metropolitan areas does Southern California's population encompass?
644,How many inhabitants does the Los Angeles area contain?
645,Which of the three heavily populated areas has the least number of inhabitants?
646,How many people does the Greater Los Angeles Area have?
647,What percent of California's 22 million people live in southern California?
648,What does MAS stand for?
649,How many people live in Riverside? 
650,What does CSA stand for?
651,What is the name of the water body that is found to the east?
652,What is the name of the desert on the border of Arizona?
653,What is the name of the desert near the border of Nevada?
654,What is the name of the border to the south?
655,What desert is to the south near Arizona?
656,What desert is to the south near Nevada?
657,What direction is the Colorado-Mexico border?
658,The cities of Los Angeles and San Diego are a part of which state?
659,What is the population of Los Angeles?
660,Which city is the most populous in California?
661,What is the eighth most populous city in the nation?
662,In which cardinal direction from Los Angeles is San Diego?
663,What are two of the three major cities located in southern California?
664,"What city has a population of 3,792,261?"
665,"What city has a population of 1,307,204?"
666,What second most populous city is north of Los Angeles?
667,"Orange, San Diego, Riverside and San Bernardino make up four of the five counties. What is the name of the last county?"
668,What country are all the counties in?
669,"What are Los Angeles, Orange, San Diego, San Bernardino and Riverside?"
670,What is the lowest ranking one of the counties could have in terms of most populous counties in the United States?
671,What is the smallest geographical region discussed?
672,What are the five most populous counties in the United States?
673,How many populous counties are in the United States?
674,"What county are Los Angeles, Orange, San Diego, San Bernardino, and Riverside located in?"
675,What is the name given to the district that is associated with the motion picture industry?
676,Which city does the Hollywood district belong to?
677,Which company owns ABC?
678,"Other than the motion picture and television industry, what other major industry is centered in Los Angeles?"
679,"Other than Universal and Warner Brothers, what other company runs a major record company?"
680,What company owns ACB?
681,What three industries are centered in Hollywood?
682,Where is Los Angeles a district of?
683,What major companies are headquartered in Los Angeles? 
684,"Other than surf, what other culture is southern California home to?"
685,What is the name of the professional skateboarder that lives in southern California?
686,What famous snowbaorder lives in southern California?
687,Southern California is second to which island in terms of famous serf breaks?
688,What is the shortened name of the annual yacht race that takes place?
689,Where are No Fear and RCVA headquartered?
690,Who are Rob Curran and Tim Machado?
691,Where does professional surfer Tony Hawk live?
692,What famous surfing spots is Oahu second to?
693,What was held at the San Diego Yacht Club from 1985 to 1998?
694,What is the name of the desert city?
695,Other than the desert city why do many locals and tourists frequent southern California?
696,Which region of California is Palm Springs located in?
697,"Other than for its resort feel, what is Palm Springs popular for?"
698,Who visits Palm Springs for the beaches?
699,What is the desert of southern California popular for?
700,Which coast is the desert on?
701,"Geographically speaking, where is California's north - south midway point in terms of latitude?"
702,How many miles south of San Jose is the north - south midway point located?
703,"The term ""southern"" California usually refers to how many of the southern-most counties of the state?"
704,"Other than Point Conception, what landmark is used in the other definition of southern California?"
705,Point Conception is an example of a landmark among what boundary of southern California?
706,"What lies at 37° 8' 59.23"" latitude?"
707,What is around 18 miles south of San Jose?
708,What lies at 35° 48′ 27″ north latitude?
709,What uses Point Tehachapi and the Conception Mountains as the northern boundary?
710,Which country used to rule California?
711,Los Angeles is in the lower part of what?
712,Which Californio is located in the upper part?
713,What was the name of the legislation passed in 1850?
714,The legislation allowed California to be admitted to the Union as what kind of state?
715,What country did California once rule?
716,Who were there disputes between when California ruled Mexico?
717,"What line is at 30 degrees, 36 minutes?"
718,What was passed in 1805?
719,"Other than land laws, what else were the Californios dissatisfied with?"
720,What was the name given to the regions in which the pro - slavery southerners lived?
721,How many times did southern California attempt to achieve a separate statehood?
722,What was the percentage of people that voted in favor of the Pico Act of 1859?
723,Which Senator was a strong advocate for the Pico Act?
724,Who attempted to achieve a separate statehood in 1805?
725,What was passed in 1895?
726,Who was the governor of California in 1895?
727,Who was elected in 1859?
728,What title did Latham Milton hold?
729,Which newspaper defined southern California?
730,In which year did the newspaper define southern California?
731,In which year did the newspaper change its previous definition?
732,What was the newer county added to the list?
733,How many counties initially made up the definition of southern California?
734,How did the Los Angeles Times define southern California in 1909?
735,What did the Los Angeles Times add to the definition of southern California in 1990?
736,What did the California Times define twice?
737,Which organizations most commonly divide and promote the state?
738,"Other than the Automobile Club of Southern California, what other AAA Auto Club chose to simplify the divide?"
739,The two AAA clubs divided the state into a northern and southern California as opposed to what point of view?
740,Which mountain range influenced the split of the regions?
741,"In the definition based off the mountain range, which region would the desert portions of north Los Angeles County be included in?"
742,What type of club is the California Automobile State Association?
743,What type of club is the Southern California Automobile Club?
744,What type of phrase is North of the Tehachapis?
745,What type of groups divides California into only north and central regions?
746,Where does southern California's megalopolis standard in terms of population nationwide?
747,"Although southern california consts of a heavily developed urban environment, how much of it has been left undeveloped?"
748,"Southern Californian communities are well known to be large, spread - out, and what other characteristic?"
749,"Outside of its use of automobiles, what else is southern California famous for using?"
750,What kind of region can be found inside the urban area of southern California?
751,What are the second and third most populated megalopolis after Southern California?
752,What are the dominant areas of Los Angeles?
753,What international metropolitan region is in the Northeastern megalopolis?
754,What is the main gap to continued urbanization?
755,"Other than the San Diego metropolitan area, what other area are the communities along Interstates 15 and 215 connected with?"
756,Who considers Los Angeles County to be a separate metropolitan area?
757,Other than L.A. which other county do many people commute to?
758,"Other than the 1980s, in which decade did most of San Bernardino and Riverside Counties develop?"
759,What was developed in 1980?
760,What counties to most people commute to?
761,What formed in the Coachella Valley north of Orange County?
762,What counties near Kern-Bakersfield County was population growth high?
763,What kind of climate does southern California maintain?
764,"Other than many sunny days, what characteristic is typical for the climate in souther California?"
765,What is the low end of the temperature range in summer?
766,How frequent is snow in the Southwest of the state?
767,What is the high end of the temperature range in winter?
768,What type of climate does California have?
769,Where are summer temperature ranges 70-50s?
770,Where are winter temperature ranges 90-60s?
771,What is rare on the Southeast of the state?
772,What term best describes southern California's collection of landscapes?
773,The region spans starting at islands found in which body of water?
774,What type of landscapes other than geologic and natural ecosystem landscapes can be found in southern California?
775,The region spans which mountains other than the Transverse ranges?
776,The mountain ranges tail off into what kind of geographical formation?
777,What types of collections does desert California have?
778,What ocean has the Transverse and Peninsular Ranges?
779,What ocean has large and small interior valleys?
780,What area has the most diversity of anywhere in the country?
781,How many earthquakes does southern California experience in a year?
782,"Generally speaking, what size are the earthquakes that hit southern California?"
783,What magnitude was the 1994 Northridge earthquake?
784,What kind of destruction did the 1994 earthquake cause the most of in US history?
785,How much was the 1994 earthquake estimated to have cost?
786,What year was the Northridge earthquake that caused $20 million in damage?
787,What earthquake caused $20 million in damage?
788,How many earthquakes does the state of California have each year?
789,How many earthquakes are greater than a 4.7 magnitude?
790,Which fault can produce a magnitude earthquake of 8.0?
791,What magnitude of earthquake can many faults produce?
792,"Other than the San Jacinto Fault, and the Elsinore Fault, name one other fault."
793,Which organization released a California Earthquake forecast?
794,The earthquake forecast models what features of earthquakes in California?
795,What fault can produce a magnitude 8.7 event?
796,What faults other than the San Andreas can produce a magnitude 8.0 event? 
797,What did the UGSS release?
798,What does the UGSS California Earthquake forecast model?
799,"Southern California's distinctive regions are divided culturally, politically and what other trait?"
800,"Outside of national recognition, what other kind of recognition do some of the cities get?"
801,Cities that anchor the regions are often the hub for what kind of activity?
802,What are regions anchored by that are recognized globally?
803,What are the globally recognized anchor cities known for?
804,How is California divided?
805,"Southern California had a population of 22,680,010 according to the census from which year?"
806,What does southern California have a reputation for?
807,What is the state average growth rate?
808,What kind of economy did northern California start to grow in the 2000s?
809,Which region began to grow and assert itself in the 2000s?
810,"What census showed southern California as having a population of 26,860, 010?"
811,How much did southern California grow in the year 2000?
812,What economy started growing in the Greater Bay Region?
813,What city is in the Greater Bay Region?
814,What is the name associated with the eight areas that make up a part of southern California?
815,How many extended metropolitan areas are there?
816,Each of the extended metropolitan areas has a population that exceeds what number?
817,What does the El Centro metropolitan area and San Diego-Carslbad-San Marcos metropolitan area form?
818,What is the population of the Greater Los Angeles Area?
819,What consists of one Metropolitan Statistical Area?
820,What consists of eight Combined Statistical Areas?
821,"What area has a population of 17,786,914?"
822,"What area has a population of 5,105,786?"
823,What areas are north of Greater Santa Barbara?
824,What is the largest city in all of California?
825,What is the population of the second largest city in California?
826,"How many cities in southern California have over 200,000 residents?"
827,There are 34 cities in southern California that have a population exceeding what number?
828,"Other than San Bernardino, which other developed southern Californian city is not in close proximity to the coast?"
829,What are the two largest cities in the United States?
830,"Where are there 34 cities over 200,000 in population?"
831,"Where are there 12 cities over 100,000 in population?"
832,What city has a population of 3.3 million people?
833,What city has a population of 1.7 million people?
834,What resource is the economy of southern California depedent on?
835,Southern California is most famous for tourism and what notably named district?
836,The region was a leader in what event between 2001 - 2007?
837,Southern California's economy can be described as one of the largest in the United States and what other characteristic?
838,What was the effect of the housing crash on the region?
839,Who does the largest economy in the United States belong to?
840,What took place during 2000-2017?
841,What is southern California's economy completely dependent upon?
842,Where is southern Hollywood located?
843,"Motion pictures, petroleum and aircraft manufacturing have been major industries since which decade?"
844,What characteristic best describes the agricultural regions that could be found?
845,Which type of livestock was the argricultural region known for?
846,"Outside of livestock, what else was considered a major industry in the agriculture regions?"
847,What industry has managed to survive major military spending cutbacks?
848,What have been major industries since 1902?
849,What were major industries until suburbs were turned into farmlands?
850,What is a major factor even with aerospace cutbacks?
851,What year were farmlands turned into suburbs?
852,What type of district is southern California home to many of?
853,What does CBD stand for?
854,"What is the only district in the CBD to not have ""downtown"" in it's name?"
855,What does CDB stand for?
856,What does CDB include?
857,What does DCB stand for?
858,Downtown Burbank is an example of what kind of district?
859,Downtown Santa Monica and Downtown Glendale are a part of which area?
860,Warner Center is located in which area?
861,Century City is an example of a district that belongs to which city?
862,What business districts are within the downtown Los Angeles area?
863,What main business district is in downtown Los Angeles itself?
864,What additional business districts are in downtown Los Angeles itself?
865,The Sand Bernardino - Riverside area maintains what kind of district?
866,"Other than San Bernardino, what is the name of the other city that maintains the districts including University Town?"
867,"Other than Downtown San Bernardino, and University Town, what is the name of another business district in the San Bernardino-Riverside area?"
868,What business districts does the San Bernardino area maintain?
869,What business districts does the Riverside area maintain?
870,Which county is developing its business center?
871,Where are international corporations headquartered?
872,Jamboree Business Parks belongs to which business center?
873,What other business district does Orange County envelop outside of Downtown Santa Ana and Newport Center?
874,At what rate is Orange County developing its business centers?
875,What county does the rapidly developing downtown Santa Ana include?
876,What districts does downtown Santa Ana include?
877,What locations are headquartered at the California University at Irvine?
878,What includes Irvine Center Tech and Business Jamboree Parks?
879,What is the central business district of San Diego?
880,"Other than its main central  business district, where are the majority of San Diego's business districts located?"
881,"Outside of Northern San Diego, which other region contains business districts?"
882,University City is an example of a business district located in which city?
883,What is the central business district of downtown San Diego?
884,What are located in Northern downtown San Diego?
885,What business districts are located in Northern downtown San Diego?
886,What is the second busiest airport in the United States?
887,What is the metric they use to determine how busy airports are?
888,What ranking in terms of busiest airports from international passenger volume is the Los Angeles International Airport?
889,Which airport is home to the busiest single runway in the world?
890,What is the world's busiest general aviation airport?
891,What is the busiest airport by passenger volume in the United States?
892,What is the second-busiest single runway airport in the world?
893,What is the second-busiest general aviation airport?
894,What major commercial airports are located in Los Angeles?
895,What is the name of the commuter rail system?
896,How many lines does the commuter rail system have?
897,How many lines run out of Downtown Los Angeles?
898,"A single line connects San Bernardino, Riverside and what other county?"
899,Where do seven lines of Metrolink run out of?
900,What is the name of the Los Angeles rail system?
901,"What counties are connected to Los Angeles, Ventura, and San Bernardino by one line?"
902,What is the United States busiest commercial port?
903,What is the second busiest container port in the United States?
904,The Port of Long Beach belongs to which region of California?
905,What is home to Southern California?
906,What is the busiest container port in the United States?
907,What is the Port of San Diego adjacent to?
908,What is the United State's second-busiest commercial port?
909,What is the moniker that is being used to describe the region's diversified technology?
910,What kind of universities is the region famous for?
911,What kind of university is the California Institute of Technology?
912,How many campuses does the University of California have?
913,How many campuses does the California State University have?
914,What are the 5 California University campuses?
915,How many California University campuses are there?
916,How many State of California University campuses are there?
917,Where is Redland University located?
918,Where is Pomona University located?
919,The Los Angeles Rams are an example of what kind of sports team?
920,The Los Angeles Clippers are a team belonging to which sport?
921,The Los Angeles Angels of Anaheim are from which sport?
922,What is the other NHL team aside from the Anaheim Ducks to reside in Southern California?
923,What is the lone MLS team that belongs to southern California?
924,What NLF teams are from Southern California?
925,What NAB teams are from Southern California?
926,What MBL teams are from Southern California?
927,What NLH teams are from Southern California?
928,What MSL team is from Southern California?
929,Which team was suspended from the MLS?
930,How many teams did Los Angeles used to have?
931,Which year resulted in the suspension of one of the two soccer teams?
932,What was the name of the stadium that the teams played in?
933,When is the suspended team scheduled to return?
934,How many Major Soccer League teams were in Los Angeles from 2005-2014?
935,What Major Soccer League teams played in Los Angeles in 2014?
936,When were the LA Galaxy suspended?
937,When is a second MSL team scheduled to return?
938,What other kind of sport is popular in southern California?
939,The Bruins belong to which college?
940,What is the name of the team from USC?
941,Which conference do the teams in southern California play in?
942,The two listed teams play for which NCAA group?
943,What is the ULCA mascot?
944,What is the UCS mascot?
945,What conference are both ULCA and UCS part of?
946,What is a growing sport in southern California?
947,At which level of education is this sport becoming more popular?
948,What is rugby rapidly becoming with high schools?
949,What sport is growing in all California schools?
950,What company was formed by the merger of Sky Television and British Satellite Broadcasting?
951,Who is the UK's largest digital subscription television company?
952,What year did BSkyB acquire Sky Italia?
953,What is the name of the holding company for BSkyB?
954,What is the name of the United Kingdom operation for BSkyB?
955,What company was angry about the merger of Sky Television and British Satellite Broadcasting?
956,Who is the UK's smallest digital subscription television company?
957,What year did BSkyB remove Sky Italia?
958,When did BSkyB become the largest US television company?
959,What company no longer trades as Sky?
960,What year was Setanta Sports awarded Primeier Leage rights to broadcast?
961,How many of the six total packages available to broadcasters was Setanta awarded?
962,Who purhcased the remaining 4 pacakages available to broadcasters?
963,How much did Sky bid to win the 4 broadcast pacakges they bought?
964,Which company had a short legal battle with the European Commission?
965,How many of the six total packages available to broadcasters did Setanta give away?
966,Sky lost how many packages?
967,How much did Sky bid to lose the 4 broadcast packages?
968,What channel was never dropped from Sky?
969,What consortium was BSkyB excluded from?
970,Who did BSkyB team up with because it was not part of the consortium?
971,How many BSkyB channels were available to customers prior to October 2005?
972,What channel replaced Sky Travel?
973,What was Sky Travel later rebranded as?
974,What consortium was BSkyB included with?
975,What was Pick TV later rebranded as?
976,What channel came before Sky Travel?
977,Who did BSkyB team up with because it was part of the consortium?
978,What channel was never rebranded?
979,What service did BSkyB chare additional subscription fees for?
980,When did Sky launch a TV advertising campaign target towards women?
981,WHat allows customers to get Sky+ functions if they do not subscribe to BSkyB's channels?
982,When did BSkyB discontinue the Sky+ Box?
983,What replaced the Sky+Box?
984,What service did BSkyB give away for free unconditionally?
985,When did Sky launch a TV advertising campaign target towards men?
986,What isn't required by customers to get Sky+ functions if they do not subscribe to BSkyB's channels?
987,When did BSkyB upgrade the Sky+ Box?
988,What replaced the Sky+HD Box?
989,What is the name of the TV scrambling system BSkyB uses?
990,Who is VideoGuard owned by?
991,Who is the parent company of NDS?
992,Who has design authority over all of the digital satellite receivers that are capable of using their service?
993,What is the name brand of the personal video recorder that BSkyB offers?
994,What is the name of the TV scrambling system BSkyB couldn't use?
995,Whose digital receivers are only built by one manufacturer?
996,What is available as stand-alone DVB CAMs?
997,What company was never involved with NDS?
998,What is the name brand of the video recorder that BSkyB never sold?
999,What year did BSkyB and Virgin Media have a dispute over the carriage of Sky Channels on cable TV?
1000,What channels were removed from the network in March of 2007?
1001,What did Virgin Media claim BSkyB did that resulted Virgin not carrying the channels anymore?
1002,"What additional srevice did BSkyB offer besides HD channels that they claimed offered ""substantially more value""?"
1003,"What additional srevice did BSkyB offer besides Video on Demand that they claimed offered ""substantially more value""?"
1004,What year did BSkyB and Virgin Media have an agreement over the carriage of Sky Channels on cable TV?
1005,What channels were always available on the network?
1006,What additional service did BSkyB offer besides HD channels that they claimed offered no value?
1007,What claim did BSkyB agree with?
1008,When were basic channels first introduced by BSkyB?
1009,"when did the English High court find Microsoft's use of the term ""SkyDrive"" infringed on Sky's right?"
1010,What year did BSkyB and Microsoft announce their settlement?
1011,What did Microsoft announce that it would rename Sky Drive to?
1012,What did Microsoft announce that it would rename Sky Drive Pro to?
1013,What kind of service is the SkyDrive Service?
1014,"When did the English High Court of Justice find that Microsoft’s use of the term ""SkyDrive"" did not infringe on Sky’s right to the ""Sky"" trademark?"
1015,When did Microsoft decide to appeal the ruling?
1016,What did Microsoft announce that it would rename OneDrive to?
1017,What did Microsoft announce that it would rename OneDrive for Business to?
1018,When did Microsoft announce OneDrive will soon become SkyDrive?
1019,Who was the chief executive officer when the service began?
1020,Who's satellites would the new free-to-air channels be broadcast from?
1021,When did BSkyB end their analogue service?
1022,What platform caused BSkyB to end their analogue service?
1023,How many households had BSkyB service in 1994?
1024,What platform helped BSkyB to avoid ending their analogue service?
1025,Whose satellites were never broadcast as free-to-air?
1026,How many subscribers were lost within two months of launch from BSkyB?
1027,Who commended the operations in front of the Select Committee on National Heritage?
1028,Which company never expanded their platform?
1029,Sky UK Limited is formerly known by what name?
1030,What kind of company is Sky UK Limited?
1031,How many customers does Sky UK Limited have as a pay-TV broadcaster as of 2015?
1032,what other digital TV service took Sky UK Limited's most popular spot?
1033,Sky UK Limited is now known by what name?
1034,What has Sky UK Limited never been involved with?
1035,How many customers did Sky UK Limited lose as a pay-TV broadcaster as of 2015?
1036,What was the UK's least popular TV service in 2015?
1037,Where did the headquarters relocate from?
1038,What is the name of Sky Q's broadband router?
1039,What are the Sky Q mini set top boxes able to connect to?
1040,What does connecting different Sky Q boxes enable them to do?
1041,When is Sky going to introduce UHD broadcasts?
1042,When are the new Sky Q products going to be available?
1043,What is the name of Sky Q's dial-up router?
1044,What are the Sky Q mini set top boxes never able to connect to?
1045,What does disconnecting different Sky Q boxes enable them to do?
1046,What set top box can no longer display UHD broadcasts?
1047,What are BSkyB's standard definition broadcasts compliant with?
1048,Sky Movies and Sky Box office also include what optional soundtracks?
1049,What is Sky+ HD material broadcast using?
1050,What is the proprietary system that Sky+HD uses?
1051,What does most of the HD material use as a standard?
1052,What box is required to view MPEG-3?
1053,What is the proprietary system that Sky+HD can't use?
1054,What channel never used looping video streams?
1055,What kind of soundtracks are mandatory with the Sky Movies and Sky Box Office channels?
1056,When was Sky Digital launched?
1057,What satellite was used when Sky digital was launched?
1058,What satellite enabled Sky Digital to launch an all new digital service?
1059,How many television and radio channels could the new digital service carry?
1060,What is the position of the satellite that allowed sky to broadcast channels almost elclusively for the United Kingdom?
1061,What service used Astra 2A in 1995?
1062,What satellite made it impossible for Sky Digital to launch an all new digital service?
1063,How many television and radio channels did the digital service get rid of?
1064,When was the only satellite launched?
1065,When did BSkyB launch it's HDTV service?
1066,How many people were registered to receive the HD service prior to launch?
1067,What was the name of the set top box manufacturer that BSkyB was having issues with?
1068,What was the number of customers that the BBC  reported had yet to receive the service due to failed deliveries?
1069,What was the total number of homes Sky announced that had Sky+HD in March of 2012?
1070,When did BSkyB fail launching it's HDTV service?
1071,Which manufacturer never had supply issues when dealing with BSkyB?
1072,How many people never registered to receive the HD service prior to launch?
1073,"Who reported that 17,000 customers received the service due to failed deliveries?"
1074,"When did Sky announce the total number of homes with Sky+HD was 3,222,000?"
1075,When did BSkyB announce it's intention to replace it's free-to-air digital channels?
1076,When did Setanta Sports say it would launch as a subscription service?
1077,What platform was Sentanta Sports planning on launching on?
1078,What were NTL's services rebranded as?
1079,What does BSkyB's sport portfolio include?
1080,When did BSkyB announce it's intention to improve it's free-to-air digital channels?
1081,When did Setanta Sports say it would launch as a free service on the digital terrestrial platform?
1082,What platform was Sentanta Sports planning to avoid launching on?
1083,What was Virgin Media rebranded as?
1084,What channel lost advertising revenue due to their plans?
1085,What are free-to-air encrypted broadcasts known as?
1086,What do some encrypted broadcasts require to view?
1087,What does a receiver have to be equipped with to view encrypted content?
1088,What is the universal band that digital recievers will receive free to air channels on?
1089,What service is a VideoGuard UK equipped receiver dedicated to decrypt?
1090,What do encrypted broadcasts never require?
1091,What does a receiver have to be equipped with to view unencrypted content?
1092,What is the localized band that digital receivers will receive to air channels on?
1093,What service is a VideoGuard UK equipped receiver never able to decrypt?
1094,What band is fitted in the middle of the satellite dish?
1095,When were the talks held for braodcast right to the Primier league for a five year period from the 1992 season?
1096,Who were the current rights holders for the Primer League?
1097,What did ITV increase their yearly offer for control of the rights to broadcast the Primer League to?
1098,Who was given the highlights of most of the matches?
1099,How much was BSkyB going to pay for the Primier League rights?
1100,What company was not concerned about retaining new rights?
1101,How much did BSkyB pay to give up their rights for Premier League?
1102, Who never saw highlights of most of the matches?
1103,Who were never rights holders for the Premier League?
1104,Who does BSkyB have an operating license from?
1105,what is the fee range for accessing BSkyB's EPG?
1106,Can BSkyB veto the presence of channels on their EPG?
1107,Does BSkyB carry any control over a channels content?
1108,Does BSkyB carry any control over the picture quality of a channel?
1109,Who took away the operating license from BSkyB?
1110,What company has veto over the presence of channels on their EPG?
1111,What can BSkyB veto the presence of channels on?
1112,What service doesn't require a fee to use?
1113,When was BSkyB's digital service launched?
1114,What was the name of BSkyB's digital service launched under?
1115,What did BSkyB name their interactive service?
1116,Who did BSkyB compete with initially?
1117,Within the 30 days how many digiboxes had been sold?
1118,When was BSkyB's digital service unofficially launched?
1119,What company supported BSkyB the most?
1120,Within 30 days how many digiboxes had been discarded?
1121,When did BSkyB decide to stop giving away free digiboxes?
1122,When was virgin media rebranded from NTL Telewest?
1123,what was NTL Telewest re-branded to in 2007?
1124,What did Virgin Media concentrate on instead of offering linear channels?
1125,What was the one linear HD channel Virgin Media carried from November 2006 to July 2009?
1126,what was the name of the other HD channel Virgin media could carry in the future?
1127,When was NTL Telewest rebranded from Virgin Media?
1128,What did Virgin Media ignore while offering linear channels?
1129,What was the one linear SD channel Virgin Media carried from November 2006 to July 2009?
1130,What channel never had an HD version?
1131,How many homes had BSkyB's direct-to-home satellite service available to them in 2010?
1132,How large was the audience BSkyB said they could reach?
1133,When did BSkyB first announce their target goal?
1134,What was the target percentage of households BSkyB wanted to reach?
1135,What was happening to subscriber numbers in other areas of europe?
1136,How many homes had BSkyB's direct-to-home satellite service unavailable to them in 2010?
1137,How small was the audience BSkyB said they couldn't reach?
1138,What was the percentage of households BSkyB never reached?
1139,What free TV platform was most popular in Europe at this time?
1140,What did Alec Shelbrooke propose payments of benefits to be made on?
1141,What could the Supplemental Nutrition Assistance Program purchase?
1142,what did the UK parliment hear that a subscription to BSkyB was?
1143,What was the UK governments benefits agenchy checking in 2012?
1144,What did the benefits agency think sports channels on a TV bill meant?
1145,What did Alec Shelbrooke propose payments of benefits never be made on?
1146,What could the Supplemental Nutrition Assistance Program never sell?
1147,What did the UK parliment decide that a subscription to BSkyB was?
1148,What did the benefits agency think sports channels on a TV bill ignored?
1149,What was the UK governments benefits agency destroying in 2012?
1150,What were the annual carriage fees for the channels?
1151,Does the new deal include Video on demand and High Definition?
1152,What company agreed to terminate high court proceedings with BSkyB?
1153,What company agreed to terminate high court proceedings with Virgin Media?
1154,What were high court proceedings being held about?
1155,What were the weekly carriage fees for the channels?
1156,What company did not agree to terminate high court proceedings with BSkyB?
1157,What were local court proceedings being held about?
1158,Which companies never agreed to terminate their court proceedings against each other?
1159,Which company still offers Video On Demand and HD?
1160,What kind of economy does Victoria have?
1161,Where according to gross state product does Victoria rank in Australia?
1162,At what rank does GPS per capita set Victoria?
1163,What city in Victoria is called the sporting capital of Australia?
1164,What is the largest stadium in Australia?
1165,What kind of education does Victoria have?
1166,Where according to net domestic product does Victoria rank in Australia?
1167,At what rank is GPS service in Victoria?
1168,What city in Victoria is called the cricket ground of Australia?
1169,How many public universities are in Melbourne?
1170,Where is the Asian influence strongest in Victoria?
1171,Where were the Lambing Flat riots?
1172,Where was the 1857 riot?
1173,How many miners died in the typhoid outbreak of 1854?
1174,What were the conditions for miners in the gold fields in Victoria?
1175,Where is the Asian gold miners strongest in Victoria?
1176,Where were the pro-Chinese riots?
1177,Where was the 1857 gold rush?
1178,How many miners died from racism violence in 1854?
1179,What were the conditions for miners in Ireland and China?
1180,What kind of representational system does the Victorian Legislative Council have?
1181,How many electorates does the State of Victoria have?
1182,How many representatives does each electorate have?
1183,What is the term of office for each house member?
1184,How often are elections held for the Victorian Parliament?
1185,How many electorates does the Legislative Council have?
1186,How many representatives does each state have?
1187,How often are elections held by upper house members?
1188,In what month does the Victorian Parliament register voters?
1189,What political party is strongest in Melbourne's working class suburbs?
1190,What party is strongest in Melbourne's affluent areas?
1191,Which party is strongest in Victoria's northwestern and eastern regions?
1192,What party rules in Melbourne's inner regions?
1193,What party is favored in Bedigo and Geelong?
1194,What political party is strongest in Melbourne's poor regional areas?
1195,What party is strongest in Melbourne's financial district?
1196,Which party is strongest in Victoria's lower house?
1197,What party formed in 2014?
1198,What party is favored in Northern and Southern Victoria?
1199,What percentage of Victorians are Christian?
1200,How many Victorians are Catholic?
1201,What is Victoria's largest non-Christian religion?
1202,How many Victorians are Buddhist?
1203,How many Victorians are non-religious?
1204,What percentage of Victorians are Christian Scientists?
1205,How many Victorians are live near a moneatery?
1206,What religion are most of the lower class in Victoria?
1207,How many Victorians have a Buddha statue?
1208,How many Victorians are Muslim?
1209,Where in Australia is Victoria located?
1210,How does Victoria rank as to population density?
1211,How populous is Victoria compared to other Australian states?
